State,ACH,Yrows,Xcols
AK,1.506,1,1
UT,1.376,2,1
RI,1.353,3,1
SD,1.243,4,1
MT,1.211,5,1
SC,1.184,1,2
NY,1.156,2,2
GA,1.14,3,2
AR ,1.126,4,2
NJ,1.125,5,2
CA,1.12,1,3
MA,1.079,2,3
NM,1.071,3,3
ME,1.053,4,3
PA,1.05,5,3
IA,1.048,1,4
MN,1.048,2,4
DE,1.033,3,4
VT,1.028,4,4
MI,1.005,5,4
LA,1.004,1,5
MD,1.004,2,5
CT,1.002,3,5
DC,0.989,4,5
NC,0.967,5,5
IN,0.965,1,6
VA,0.964,2,6
OK,0.962,3,6
NE,0.961,4,6
WI,0.96,5,6
KS,0.959,1,7
MO,0.948,2,7
OR,0.944,3,7
TN,0.922,4,7
ND,0.916,5,7
CO,0.91,1,8
TX,0.907,2,8
MS,0.895,3,8
FL,0.893,4,8
AZ,0.891,5,8
IL,0.889,1,9
ID,0.885,2,9
KY,0.885,3,9
HI,0.875,4,9
AL,0.872,5,9
OH,0.826,1,10
NH,0.799,2,10
NV,0.754,3,10
WV,0.66,4,10
WY,0.568,5,10
